sailnumber	name	type
NOR/NOR11737	Alda III	Bavaria 42 Match
CRO/CRO1742	Alegria 2	Sun Odyssey 44i
NOR/NOR5848	Alfred	FIRST 30E MH
AUS/401	Alibi	First 40
NOR/NOR9479	Alida	DUFOUR 30 CLASSIC
NOR/NOR15237	Alida II	Spirit 32
NED/NED8927	Aligator for Ever	JPK 960
CRO/CRO2520	Alinghi	Bavaria CR 41S
NOR/NOR14795	Aljada	Dufour 36e P
NOR/NOR12075	Allegro	Elan 340
ISR/ISR41	Alma	Bavaria 41 Cruiser
NOR/NOR14918	Almazi	Elan 340
ISR/ISR422	Almogim	Bavaria 42 Cruiser
CRO/CRO1570	Alpha	Elan 340
NED/NED7505	Alskling	Grand Soleil 40
RSA/RSA3141	Always Well	Beneteau First 7.5
NOR/NOR12801	Amanda	Sun OD 49 DS
NED/NED7889	Amare	Elan 384
NED/BEL3950	Amares 2	Archambault A35
NED/BEL3950	Amares 2	Archambault A35
NED/NED6101	Amaretto	First 40.7
NED/BEL3590	Amaris 2	Archambault A35
NOR/NOR13573	Amarone	Elan 340
NOR/NOR9701	Amaryllis	FIRST 40.7
RSA/RSA2489	Ambeloui	Lavranos 34
NED/NED27	Ambition	J-122 (DK)
NOR/NOR12093	Ami	First 31.7 LR
NOR/NOR15149	Amor III	Sun Oddysey 469
POL/HL60348	Anafesto	TP 52
NOR/NOR3	Anahita	One Off
ISR/ISR371	Ananda	Oceanis 37
RSA/RSA2231	Anastasia	Lavranos 39
NOR/NOR5299	Anastasia	BANNER 28 HR
CRO/CRO772	Anatela	Grand Soleil 46.3
NOR/NOR9660	Andante	X-332
NOR/NOR13348	Andrik	Hanse 370
NOR/NOR10230	Andrine	Bavaria 34 AC
CRO/CRO2550	Angelina	Bavaria 50
NOR/NOR12239	Anima	Hanse 370E
NOR/NOR11147	Anker VI	BAVARIA 42 CR
NOR/NOR14860	Anna	Sun OD 439
NED/NED7422	Anne	F & F 1100
NED/NED5564	Anne Mazurka	IMX-38
NOR/NOR9030	Anne-lise	BIANCA 107
NOR/NOR15562	Annisen	Bavaria 33 CR
NED/NED8358	Anoniem	Waarschip 1/4 x1.5
AUS/AUS29	Antares	5.5 Metre 
NOR/NOR14473	Anticoma	Sun OD 409
GBR/GBR37N	Antilope	GRAND SOLEIL 37BC
NED/NED8090	Antoinette	Winner 1220
NOR/NOR14022	Appétit	First 27.7s
NED/NED2694	Aquarel   	Standfast 33
CRO/CRO2431	Aquarius	Bavaria CR 41
NOR/NOR15560	Aquatich	Aquatich 40
CRO/CRO1937	Aquavit	Salona 38
NOR/NOR14951	Arckaos	Arcona 410
NLS/NED7800SH	Arethusa	J-109
NED/NED7800	Arethusa	J-109
NOR/NOR14445	Argo	First 45
RSA/RSA4546	Argo Fy	Jarkan 38
NOR/NOR11791	Aria	BAVARIA 42 CR
CRO/CRO1738	Ariadne	First 45
NOR/NOR11351	Ariel	X-37
NOR/NOR11971	Ariel	BAVARIA 38 AC 98-0
NOR/NOR11963	Ariel	CB 365
NOR/NOR6937	Ariela	LINJETT 32 7/8
CRO/CRO1818	Aries I	Bavaria CR 45
NOR/NOR13699	Arion	Bavaria 38 Cruiser
NOR/NOR11200	Arius IV	Bavaria 36 CR 01-0
CRO/CRO2427	Artemis	Bavaria CR 41S
NOR/NOR7801	Artemis	CONTRAST 400
NOR/NOR11106	Ashiki	CB 365
RSA/RSA4162	Assagai	Pacer 42
CRO/CRO2046	Atallya 1	Bavaria CR 46
CRO/CRO2564	Athene	More 55
CRO/CRO2451	Attalya II	Bavaria CR 46
NOR/NOR13832	Aurelia	Elan 333
CRO/CRO2488	Aurora	Bavaria CR 41
NOR/NOR11885	Aurora	Dufour 34 Performa
NOR/NOR13857	Aurora 2	Dufour 45 Performa
SLO/SLO3839	Aurora Pirnar	X-35 OD MOD.
RSA/SA818	Ava	Miura
CRO/CRO2428	Avalon	Bavaria CR 41S
RSA/RSA2103	Avanti	Vickers 41
NOR/DEN73	Avanti	LARSEN 28
NED/NED8949	Avanti	GRAND SOLEIL 43
RSA/RSA4550	Avatar	Lavranos 34
NOR/NOR6441	Aventura	CONTRAST 33
TUR/TUR1620	Ayarsız	SB20
AUS/B52	B 52	BASHFORD 41
ARG/ARG5400	B 612	K 37
SUI/SUI155	B TOO	ESSE 850
ITA/ITA8315	BABAO	MODULO 72
ITA/ITABABBO2	BABBO 2	KELT 7.60
POR/POR1160	BABSEA	RONDO
ITA/ITA76UFO22	BABY B.	UFO 22
ESP/ESP7985_C	BACAN	OCEANIS 393
ITA/ITA16191	BACIOTTINHO	DUFOUR 34
NED/NED5774	BACK BAY	Victoire 1044
ARG/ARG4837	BADULAQUE	PND31
ESP/ESP10416_C	BAFFI	DUFOUR 500
NED/NED3136	BAGATELLE	Feeling 920 * 1.70
FRA/FRA4407	BAGHEERA	SPRINT 95
ITA/ITA3036	BAGUA	FARR 30
ARG/ARG5632	BAGUAL	MAXI 33
ITA/ITA16875	BAHIA	KARATE SPORT
NED/NED6531	BAIJI	Sigma 400
